"id","nom","pays","annee","longueur"
"1","Teruel Aragon","Espagne","2009","5078"
"2","Losail Qatar","Qatar","2004","5380"
"3","Catalunya","Espagne","1991","4727"
"4","Algarve","Portugal","2008","4684"
"5","Le Mans","France","1966","4180"
"6","Sepang","Malaisie","1998","5548"
"7","Austin","Etats-Unis","2012","5513"
"8","Sachsenring","Allemagne","1996","3671"
"9","Silverstone","Angleterre","1948","5902"
"10","Assen","Pays-Bas","1955","4542"
"id","libelleGP","dateCourse"
"1","GP d'Aragon","2022-09-18"
"2","GP d'Allemagne","2022-06-19"
"3","Grand Prix du Portugal ","2023-03-26"
"4","Grand Prix des Amériques ","2023-04-16"
"5","Grand Prix d'Espagne ","2023-04-30"
"6","Grand Prix de France","2023-05-14"
"7","Grand Prix d'Allemagne ","2023-06-18"
"8","Grand Prix des Pays-Bas","2023-06-25"
"9","Grand Prix de Grande-Bretagne","2023-08-06"
"10","Grand Prix de Calalogne","2023-09-03"
"11","Grand Prix de Malaisie","2023-11-12"
"12","Grand Prix du Qatar","2023-11-19"
"id","modele","constructeur","pays"
"1","YZR","Yamaha","Japon"
"2","RS-GP23","Aprilia","Italie"
"3","RC213V","Honda","Japon"
"4","Desmosedici GP","Ducati","Italie"
"5","RC16","KTM","Autriche"
"6","RC16","Gas Gas","Espagne"
"libelle"
"anglais"
"australien"
"espagnol"
"français"
"italien"
"portugais"
"idCourse","idPilote"
"pays"
"Angleterre"
"Australie"
"Autriche"
"Belgique"
"Espagne"
"France"
"Italie"
"Japon"
"Malaisie"
"Monaco"
"Portugal"
"id","nom","prenom","nationalite","dateNaiss","idTeam"
"1","Quartararo","Fabion","français","1999-04-20","2"
"2","Zarco","Yohann","français","1990-07-16","1"
"3","Jorge","Martin","espagnol","1998-01-29","1"
"4","Morbidelli","Enzo","italien","1992-12-04","2"
"5","Miller","Jack","australien","1995-01-18","6"
"6","Espargaró","Pol","espagnol","1989-07-30","3"
"7","Marini","Luca","italien","1997-08-10","7"
"8","Bastianini","Enea","italien","1997-12-30","5"
"9","Di Giannantonio","Enzo","italien","1998-10-10","3"
"10","Oliveira","Miguel","portugais","1995-01-04","6"
"11","Binder","Brad","anglais","1995-08-11","4"
"12","Espargaró","Aleix","espagnol","1989-07-30","1"
"13","Bagnaia","Pecco ","italien","1997-01-14","5"
"14","Viñales","Maverick","espagnol","1995-01-12","1"
"idCourse","idPilote","temps"
"9","10","2441.12"
"9","11","2441.05"
"9","12","2440.37"
"9","13","2440.58"
"9","14","2442.47"
"id","libelle","pays","modeleMoto","idPilote1","idPilote2"
"1","Pramac Racing","Italie","Ducati Desmosedici","0","0"
"2","Monster Energy Yamaha Factory Racing","Japon","Yamaha YZR-M1","0","0"
"3","Team Gresini Racing","Italie","Ducati Desmosedici","0","0"
"4","Team Red Bull KTM Factory Racing","Autriche","KTM RC16","0","0"
"5","Team Ducati","Italie","Ducati Desmosedici","0","0"
"6","Team Repsol Honda","Japon","Honda RC213V","0","0"
"7","Team VR46","Italie","Ducati Desmosedici","0","0"
